DOY	Etr	ETP	NDVI	Rain	T_5cm	T_10cm	T_20cm	T_30cm_2	T_40cm	T_50cm	SWUpper_Avg	SWLower_Avg	LWUpperCo_Avg	LWLowerCo_Avg	Trad_apo	Ta_2m	Ta_3m	RH_2M	RH_3M	WS_ms_2M_Avg	WS_ms_3M_Avg	IAFactivo	Gcorregido					
268	1.342615948	3.94	0.619444215	0.000	288.770	287.810	286.710	285.880	12.157	11.590	254.9072639	49.38844444	311.3361111	393.8291667	288.51	288.12	288.58	74.33	72.54	0.971	1.472	3.39	-15.30					
269	1.864309474	3.69	0.624618685	0.000	288.092	287.632	286.996	286.399	12.748	12.135	250.6987222	49.70054167	301.0048611	381.2	286.25	285.81	286.26	79.24	76.63	1.761	2.25	3.63	-5.91					
270	1.618086347	2.58	0.619885491	0.000	286.415	286.388	286.356	286.245	12.888	12.439	223.7438264	47.17557639	298.5763889	367.8798611	283.91	282.26	282.46	95.6	94.6	0.499	0.399	3.57	-0.71					
271	0.888157046	2.45	0.62612143	0.000	287.483	286.918	286.403	286.141	12.815	12.481	194.2458611	39.40775	329.3458333	385.0590278	287.09	285.96	286.26	84.1	83.3	2.776	3.554	3.69	-10.51					
272	1.112209722	4.11	0.639381533	0.000	289.539	288.393	287.299	286.644	13.102	12.644	236.9815347	50.23129861	338.8611111	409.325	291.30	291.04	291.35	73.11	72.38	4.433	4.944	3.88	-20.81					
273	0	0.84	0.651852039	15.300	288.165	288.332	288.072	287.490	13.764	13.080	26.442875	5.881131944	364.2090278	384.0736111	286.43	286.80	287.14	83.2	81.8	2.615	3.199	4.63	11.07					
274	0	3.07	0.665922987	0.000	285.926	286.131	286.391	286.622	13.520	13.226	223.5856806	42.03281944	306.7534722	372.06875	284.72	283.57	283.75	92.9	92.1	7.296	8.45	3.94	2.79					
275	2.751446172	2.82	0.679213336	0.000	284.600	285.110	285.662	286.058	13.095	12.991	272.8180208	54.96371528	275.3625	358.6777778	282.26	280.87	280.98	89.2	88	0.731	1.175	3.83	9.46					
276	1.798222954	2.07	0.690978158	0.000	281.964	282.847	284.040	284.992	12.410	12.608	177.4274583	38.64918056	287.1479167	342.6527778	279.08	278.11	278.31	77.97	77.11	4.425	4.8	4.42	14.44					
277	0.977262207	1.41	0.703504026	3.000	283.610	283.587	283.816	284.350	11.708	12.049	97.49464583	19.681	347.3479167	364.3395833	283.13	282.26	282.44	97.4	96.9	3.968	4.722	4.50	-2.40					
278	0.643581615	3.45	0.721668716	0.100	285.277	284.913	284.575	284.614	11.661	11.826	284.8431597	57.90645833	293.3659722	370.4284722	284.31	283.80	284.09	94.2	92.3	1.361	1.799	3.96	-6.61					
279	1.835757452	4.20	0.729012262	0.100	286.230	285.714	285.260	285.109	11.944	11.908	277.3308611	56.65084722	320.2215278	383.8402778	286.85	286.03	286.19	60.12	59.34	6.107	7.35	4.02	-12.26					
280	2.109005352	4.46	0.734420138	0.000	287.228	286.761	286.115	285.715	12.363	12.143	217.5536458	45.61475	314.6180556	381.0743056	286.42	286.26	286.55	71.9	69.4	1.417	1.795	3.98	-4.65					
281	2.12292285	4.27	0.743763095	0.000	286.335	286.101	285.893	285.810	12.593	12.386	276.0236944	59.63484722	284.6201389	372.4222222	285.00	284.30	284.63	65.25	63.43	1.033	1.403	4.43	-3.77					
282	2.071958243	5.14	0.75474527	0.000	286.723	286.352	285.996	285.857	12.644	12.462	247.1541389	53.86292361	301.0326389	376.71875	285.40	285.94	286.30	56.22	54.2	0.72	1.162	4.05	-5.51					
283	2.006899674	4.87	0.758012567	0.000	287.915	287.089	286.409	286.102	12.809	12.574	242.8735417	51.5825625	333.9131944	397.0138889	289.10	289.60	289.99	77.96	76.34	1.834	2.412	4.13	-16.75					
